	Rhodotorula_mucilaginosa_TFCN_17-333P-6.cds.fa
GF00000078	TFCN17333P6_010407-T1, TFCN17333P6_010411-T1, TFCN17333P6_004696-T1, TFCN17333P6_004701-T1, TFCN17333P6_000790-T1, TFCN17333P6_004700-T1, TFCN17333P6_000789-T1
GF00000079	TFCN17333P6_008269-T1, TFCN17333P6_014417-T1, TFCN17333P6_008270-T1, TFCN17333P6_014416-T1, TFCN17333P6_014415-T1, TFCN17333P6_014414-T1, TFCN17333P6_014413-T1
GF00000080	TFCN17333P6_008179-T1, TFCN17333P6_006057-T1, TFCN17333P6_013761-T1, TFCN17333P6_002963-T1, TFCN17333P6_009391-T1, TFCN17333P6_003462-T1, TFCN17333P6_005087-T1
GF00000081	TFCN17333P6_012569-T1, TFCN17333P6_009298-T1, TFCN17333P6_004499-T1, TFCN17333P6_010245-T1, TFCN17333P6_013301-T1, TFCN17333P6_001383-T1
GF00000082	TFCN17333P6_005688-T1, TFCN17333P6_000769-T1, TFCN17333P6_001579-T1, TFCN17333P6_014907-T1, TFCN17333P6_011984-T1, TFCN17333P6_013441-T1
GF00000083	TFCN17333P6_008349-T1, TFCN17333P6_001914-T1, TFCN17333P6_011023-T1, TFCN17333P6_006885-T1, TFCN17333P6_004157-T1, TFCN17333P6_011128-T1
GF00000084	TFCN17333P6_012736-T1, TFCN17333P6_000358-T1, TFCN17333P6_002517-T1, TFCN17333P6_002519-T1, TFCN17333P6_011769-T1, TFCN17333P6_011768-T1
GF00000085	TFCN17333P6_013563-T1, TFCN17333P6_012326-T1, TFCN17333P6_009964-T1, TFCN17333P6_012558-T1, TFCN17333P6_010078-T1, TFCN17333P6_012034-T1
GF00000086	TFCN17333P6_010674-T1, TFCN17333P6_010675-T1, TFCN17333P6_004293-T1, TFCN17333P6_004296-T1, TFCN17333P6_004295-T1, TFCN17333P6_004294-T1
GF00000087	TFCN17333P6_006204-T1, TFCN17333P6_006202-T1, TFCN17333P6_006203-T1, TFCN17333P6_006277-T1, TFCN17333P6_006276-T1, TFCN17333P6_006275-T1
GF00000088	TFCN17333P6_006184-T1, TFCN17333P6_006258-T1, TFCN17333P6_010056-T1, TFCN17333P6_006154-T1, TFCN17333P6_006243-T1, TFCN17333P6_012056-T1
GF00000089	TFCN17333P6_000028-T1, TFCN17333P6_013653-T1, TFCN17333P6_000029-T1, TFCN17333P6_009809-T1, TFCN17333P6_013652-T1, TFCN17333P6_000051-T1
GF00000090	TFCN17333P6_007353-T1, TFCN17333P6_005783-T1, TFCN17333P6_010525-T1, TFCN17333P6_014865-T1, TFCN17333P6_013519-T1, TFCN17333P6_013520-T1
GF00000091	TFCN17333P6_002284-T1, TFCN17333P6_011470-T1, TFCN17333P6_011066-T1, TFCN17333P6_010530-T1, TFCN17333P6_007301-T1, TFCN17333P6_012093-T1
GF00000092	TFCN17333P6_005171-T1, TFCN17333P6_005156-T1, TFCN17333P6_011599-T1, TFCN17333P6_014849-T1, TFCN17333P6_011600-T1, TFCN17333P6_014850-T1
GF00000093	TFCN17333P6_007803-T1, TFCN17333P6_007812-T1, TFCN17333P6_003694-T1, TFCN17333P6_003684-T1, TFCN17333P6_014719-T1, TFCN17333P6_003693-T1
GF00000094	TFCN17333P6_002447-T1, TFCN17333P6_003215-T1, TFCN17333P6_005432-T1, TFCN17333P6_008343-T1, TFCN17333P6_001899-T1, TFCN17333P6_001994-T1
GF00000095	TFCN17333P6_009443-T1, TFCN17333P6_014409-T1, TFCN17333P6_006067-T1, TFCN17333P6_007786-T1, TFCN17333P6_008000-T1, TFCN17333P6_011146-T1
GF00000096	TFCN17333P6_010418-T1, TFCN17333P6_000285-T1, TFCN17333P6_008847-T1, TFCN17333P6_010829-T1, TFCN17333P6_013643-T1, TFCN17333P6_000307-T1
GF00000097	TFCN17333P6_005707-T1, TFCN17333P6_000750-T1, TFCN17333P6_000748-T1, TFCN17333P6_005705-T1, TFCN17333P6_000752-T1, TFCN17333P6_000753-T1
GF00000098	TFCN17333P6_009053-T1, TFCN17333P6_003126-T1, TFCN17333P6_005281-T1, TFCN17333P6_009057-T1, TFCN17333P6_003129-T1, TFCN17333P6_005284-T1
GF00000099	TFCN17333P6_005428-T1, TFCN17333P6_009114-T1, TFCN17333P6_007410-T1, TFCN17333P6_001990-T1, TFCN17333P6_009113-T1, TFCN17333P6_007411-T1
GF00000100	TFCN17333P6_006891-T1, TFCN17333P6_013788-T1, TFCN17333P6_003377-T1, TFCN17333P6_003173-T1, TFCN17333P6_002404-T1, TFCN17333P6_004450-T1
GF00000101	TFCN17333P6_010848-T1, TFCN17333P6_010836-T1, TFCN17333P6_008840-T1, TFCN17333P6_008876-T1, TFCN17333P6_008875-T1, TFCN17333P6_008839-T1
GF00000102	TFCN17333P6_008378-T1, TFCN17333P6_001936-T1, TFCN17333P6_001831-T1, TFCN17333P6_010795-T1, TFCN17333P6_002719-T1, TFCN17333P6_001286-T1
GF00000103	TFCN17333P6_006870-T1, TFCN17333P6_004212-T1, TFCN17333P6_006823-T1, TFCN17333P6_006824-T1, TFCN17333P6_004170-T1, TFCN17333P6_004211-T1
GF00000104	TFCN17333P6_007245-T1, TFCN17333P6_007246-T1, TFCN17333P6_007247-T1, TFCN17333P6_007632-T1, TFCN17333P6_007249-T1, TFCN17333P6_007248-T1
GF00000105	TFCN17333P6_012369-T1, TFCN17333P6_012370-T1, TFCN17333P6_012368-T1, TFCN17333P6_004375-T1, TFCN17333P6_004377-T1, TFCN17333P6_004376-T1
GF00000106	TFCN17333P6_013697-T1, TFCN17333P6_008459-T1, TFCN17333P6_013665-T1, TFCN17333P6_000018-T1, TFCN17333P6_011965-T1, TFCN17333P6_008309-T1
GF00000107	TFCN17333P6_013473-T1, TFCN17333P6_014505-T1, TFCN17333P6_004902-T1, TFCN17333P6_013943-T1, TFCN17333P6_009150-T1, TFCN17333P6_004911-T1
GF00000108	TFCN17333P6_003473-T1, TFCN17333P6_008173-T1, TFCN17333P6_004013-T1, TFCN17333P6_001812-T1, TFCN17333P6_000801-T1, TFCN17333P6_005658-T1
GF00000109	TFCN17333P6_000449-T1, TFCN17333P6_004511-T1, TFCN17333P6_006014-T1, TFCN17333P6_014668-T1, TFCN17333P6_010233-T1, TFCN17333P6_010232-T1
GF00000110	TFCN17333P6_003471-T1, TFCN17333P6_003454-T1, TFCN17333P6_008175-T1, TFCN17333P6_003453-T1, TFCN17333P6_013897-T1, TFCN17333P6_013896-T1
GF00000111	TFCN17333P6_013962-T1, TFCN17333P6_014005-T1, TFCN17333P6_013961-T1, TFCN17333P6_013025-T1, TFCN17333P6_011753-T1, TFCN17333P6_014006-T1
GF00000112	TFCN17333P6_002854-T1, TFCN17333P6_001480-T1, TFCN17333P6_002869-T1, TFCN17333P6_010715-T1, TFCN17333P6_013359-T1, TFCN17333P6_006723-T1
GF00000113	TFCN17333P6_004662-T1, TFCN17333P6_004663-T1, TFCN17333P6_007603-T1, TFCN17333P6_002212-T1, TFCN17333P6_006416-T1, TFCN17333P6_007602-T1
GF00000114	TFCN17333P6_009385-T1, TFCN17333P6_002957-T1, TFCN17333P6_000564-T1, TFCN17333P6_005603-T1, TFCN17333P6_011904-T1, TFCN17333P6_011905-T1
GF00000115	TFCN17333P6_002546-T1, TFCN17333P6_003680-T1, TFCN17333P6_002545-T1, TFCN17333P6_003679-T1, TFCN17333P6_005900-T1, TFCN17333P6_012785-T1
GF00000116	TFCN17333P6_009679-T1, TFCN17333P6_013038-T1, TFCN17333P6_014839-T1, TFCN17333P6_009677-T1, TFCN17333P6_014838-T1, TFCN17333P6_009678-T1
GF00000117	TFCN17333P6_014041-T1, TFCN17333P6_002422-T1, TFCN17333P6_003188-T1, TFCN17333P6_002418-T1, TFCN17333P6_014090-T1, TFCN17333P6_003192-T1
GF00000118	TFCN17333P6_008809-T1, TFCN17333P6_002363-T1, TFCN17333P6_012003-T1, TFCN17333P6_001596-T1, TFCN17333P6_002364-T1, TFCN17333P6_001595-T1
GF00000119	TFCN17333P6_011771-T1, TFCN17333P6_002521-T1, TFCN17333P6_013475-T1, TFCN17333P6_002522-T1, TFCN17333P6_011772-T1, TFCN17333P6_014507-T1
GF00000120	TFCN17333P6_006922-T1, TFCN17333P6_004419-T1, TFCN17333P6_007242-T1, TFCN17333P6_008402-T1, TFCN17333P6_011547-T1, TFCN17333P6_007629-T1
GF00000121	TFCN17333P6_007702-T1, TFCN17333P6_013027-T1, TFCN17333P6_007864-T1, TFCN17333P6_013960-T1, TFCN17333P6_013026-T1, TFCN17333P6_007704-T1
GF00000122	TFCN17333P6_008379-T1, TFCN17333P6_001937-T1, TFCN17333P6_002210-T1, TFCN17333P6_006414-T1, TFCN17333P6_008599-T1, TFCN17333P6_009173-T1
GF00000123	TFCN17333P6_013603-T1, TFCN17333P6_009492-T1, TFCN17333P6_006618-T1, TFCN17333P6_001215-T1, TFCN17333P6_001734-T1, TFCN17333P6_003921-T1
GF00000124	TFCN17333P6_014488-T1, TFCN17333P6_007491-T1, TFCN17333P6_014489-T1, TFCN17333P6_005165-T1, TFCN17333P6_011590-T1, TFCN17333P6_007492-T1
GF00000125	TFCN17333P6_014205-T1, TFCN17333P6_003883-T1, TFCN17333P6_009390-T1, TFCN17333P6_002962-T1, TFCN17333P6_005421-T1, TFCN17333P6_004127-T1
GF00000126	TFCN17333P6_007412-T1, TFCN17333P6_009112-T1, TFCN17333P6_013394-T1, TFCN17333P6_010111-T1, TFCN17333P6_005145-T1, TFCN17333P6_011574-T1
GF00000127	TFCN17333P6_009556-T1, TFCN17333P6_003191-T1, TFCN17333P6_009555-T1, TFCN17333P6_002421-T1, TFCN17333P6_000128-T1, TFCN17333P6_009554-T1
GF00000128	TFCN17333P6_013222-T1, TFCN17333P6_000240-T1, TFCN17333P6_006012-T1, TFCN17333P6_006013-T1, TFCN17333P6_000447-T1, TFCN17333P6_000448-T1
GF00000129	TFCN17333P6_014277-T1, TFCN17333P6_014872-T1, TFCN17333P6_014894-T1, TFCN17333P6_014798-T1, TFCN17333P6_003890-T1, TFCN17333P6_014887-T1
GF00000130	TFCN17333P6_013566-T1, TFCN17333P6_012328-T1, TFCN17333P6_006527-T1, TFCN17333P6_004412-T1, TFCN17333P6_006929-T1, TFCN17333P6_004813-T1
GF00000131	TFCN17333P6_009169-T1, TFCN17333P6_008735-T1, TFCN17333P6_008602-T1, TFCN17333P6_014560-T1, TFCN17333P6_003010-T1, TFCN17333P6_003009-T1
GF00000132	TFCN17333P6_006480-T1, TFCN17333P6_010594-T1, TFCN17333P6_012871-T1, TFCN17333P6_012283-T1, TFCN17333P6_013156-T1, TFCN17333P6_006434-T1
GF00000133	TFCN17333P6_003717-T1, TFCN17333P6_009602-T1, TFCN17333P6_003294-T1, TFCN17333P6_000014-T1, TFCN17333P6_007729-T1, TFCN17333P6_006720-T1
GF00000134	TFCN17333P6_012295-T1, TFCN17333P6_006490-T1, TFCN17333P6_012294-T1, TFCN17333P6_012282-T1, TFCN17333P6_006479-T1, TFCN17333P6_012296-T1
GF00000135	TFCN17333P6_001668-T1, TFCN17333P6_010584-T1, TFCN17333P6_013166-T1, TFCN17333P6_008216-T1, TFCN17333P6_008215-T1, TFCN17333P6_001667-T1
GF00000136	TFCN17333P6_000418-T1, TFCN17333P6_008579-T1, TFCN17333P6_005981-T1, TFCN17333P6_002540-T1, TFCN17333P6_011789-T1, TFCN17333P6_009196-T1
GF00000137	TFCN17333P6_004730-T1, TFCN17333P6_010378-T1, TFCN17333P6_007136-T1, TFCN17333P6_011943-T1, TFCN17333P6_000581-T1, TFCN17333P6_005619-T1
GF00000138	TFCN17333P6_007925-T1, TFCN17333P6_014299-T1, TFCN17333P6_004930-T1, TFCN17333P6_012166-T1, TFCN17333P6_012199-T1, TFCN17333P6_001127-T1
GF00000139	TFCN17333P6_003872-T1, TFCN17333P6_009411-T1, TFCN17333P6_010091-T1, TFCN17333P6_011260-T1, TFCN17333P6_003337-T1
GF00000140	TFCN17333P6_000144-T1, TFCN17333P6_009570-T1, TFCN17333P6_002787-T1, TFCN17333P6_001223-T1, TFCN17333P6_002789-T1
GF00000141	TFCN17333P6_007278-T1, TFCN17333P6_007657-T1, TFCN17333P6_001966-T1, TFCN17333P6_002387-T1, TFCN17333P6_001965-T1
GF00000142	TFCN17333P6_008647-T1, TFCN17333P6_000697-T1, TFCN17333P6_000667-T1, TFCN17333P6_011500-T1, TFCN17333P6_011501-T1
GF00000143	TFCN17333P6_010388-T1, TFCN17333P6_004720-T1, TFCN17333P6_005261-T1, TFCN17333P6_003106-T1, TFCN17333P6_009032-T1
GF00000144	TFCN17333P6_003317-T1, TFCN17333P6_012891-T1, TFCN17333P6_008516-T1, TFCN17333P6_013338-T1, TFCN17333P6_011126-T1
GF00000145	TFCN17333P6_011044-T1, TFCN17333P6_011105-T1, TFCN17333P6_002853-T1, TFCN17333P6_002870-T1, TFCN17333P6_010716-T1
GF00000146	TFCN17333P6_000762-T1, TFCN17333P6_005696-T1, TFCN17333P6_013497-T1, TFCN17333P6_013429-T1, TFCN17333P6_013428-T1
GF00000147	TFCN17333P6_014669-T1, TFCN17333P6_000314-T1, TFCN17333P6_011575-T1, TFCN17333P6_005146-T1, TFCN17333P6_000315-T1
GF00000148	TFCN17333P6_001693-T1, TFCN17333P6_008187-T1, TFCN17333P6_008186-T1, TFCN17333P6_008185-T1, TFCN17333P6_001692-T1
GF00000149	TFCN17333P6_004900-T1, TFCN17333P6_004979-T1, TFCN17333P6_001082-T1, TFCN17333P6_001081-T1, TFCN17333P6_004978-T1
GF00000150	TFCN17333P6_006740-T1, TFCN17333P6_001462-T1, TFCN17333P6_014842-T1, TFCN17333P6_007098-T1, TFCN17333P6_007099-T1
GF00000151	TFCN17333P6_012405-T1, TFCN17333P6_013130-T1, TFCN17333P6_011450-T1, TFCN17333P6_002263-T1, TFCN17333P6_002264-T1
GF00000152	TFCN17333P6_001868-T1, TFCN17333P6_014387-T1, TFCN17333P6_001869-T1, TFCN17333P6_001866-T1, TFCN17333P6_001867-T1
GF00000153	TFCN17333P6_007317-T1, TFCN17333P6_012108-T1, TFCN17333P6_007316-T1, TFCN17333P6_012106-T1, TFCN17333P6_007318-T1
GF00000154	TFCN17333P6_001458-T1, TFCN17333P6_006744-T1, TFCN17333P6_006660-T1, TFCN17333P6_001169-T1, TFCN17333P6_001168-T1
GF00000155	TFCN17333P6_011027-T1, TFCN17333P6_007814-T1, TFCN17333P6_011122-T1, TFCN17333P6_003697-T1, TFCN17333P6_003696-T1
GF00000156	TFCN17333P6_004252-T1, TFCN17333P6_008503-T1, TFCN17333P6_004254-T1, TFCN17333P6_004289-T1, TFCN17333P6_004253-T1
GF00000157	TFCN17333P6_001916-T1, TFCN17333P6_001902-T1, TFCN17333P6_008360-T1, TFCN17333P6_008346-T1, TFCN17333P6_008347-T1
GF00000158	TFCN17333P6_012495-T1, TFCN17333P6_005733-T1, TFCN17333P6_002856-T1, TFCN17333P6_002867-T1, TFCN17333P6_010713-T1
GF00000159	TFCN17333P6_010935-T1, TFCN17333P6_003776-T1, TFCN17333P6_003779-T1, TFCN17333P6_010932-T1, TFCN17333P6_010933-T1
GF00000160	TFCN17333P6_003115-T1, TFCN17333P6_005270-T1, TFCN17333P6_009042-T1, TFCN17333P6_011851-T1, TFCN17333P6_008434-T1
GF00000161	TFCN17333P6_005752-T1, TFCN17333P6_005753-T1, TFCN17333P6_012043-T1, TFCN17333P6_010069-T1, TFCN17333P6_010571-T1
GF00000162	TFCN17333P6_000570-T1, TFCN17333P6_005608-T1, TFCN17333P6_008740-T1, TFCN17333P6_003004-T1, TFCN17333P6_014556-T1
GF00000163	TFCN17333P6_014586-T1, TFCN17333P6_001619-T1, TFCN17333P6_001635-T1, TFCN17333P6_001624-T1, TFCN17333P6_002245-T1
GF00000164	TFCN17333P6_006751-T1, TFCN17333P6_001450-T1, TFCN17333P6_006750-T1, TFCN17333P6_001452-T1, TFCN17333P6_001451-T1
GF00000165	TFCN17333P6_009958-T1, TFCN17333P6_012553-T1, TFCN17333P6_009960-T1, TFCN17333P6_012554-T1, TFCN17333P6_009959-T1
GF00000166	TFCN17333P6_003075-T1, TFCN17333P6_005230-T1, TFCN17333P6_002983-T1, TFCN17333P6_014192-T1, TFCN17333P6_005229-T1
GF00000167	TFCN17333P6_004981-T1, TFCN17333P6_004899-T1, TFCN17333P6_009153-T1, TFCN17333P6_009152-T1, TFCN17333P6_001080-T1
GF00000168	TFCN17333P6_008802-T1, TFCN17333P6_006544-T1, TFCN17333P6_012061-T1, TFCN17333P6_002372-T1, TFCN17333P6_002371-T1
GF00000169	TFCN17333P6_006500-T1, TFCN17333P6_004852-T1, TFCN17333P6_011665-T1, TFCN17333P6_012306-T1, TFCN17333P6_014736-T1
GF00000170	TFCN17333P6_007495-T1, TFCN17333P6_010452-T1, TFCN17333P6_000257-T1, TFCN17333P6_014485-T1, TFCN17333P6_009245-T1
GF00000171	TFCN17333P6_005142-T1, TFCN17333P6_011571-T1, TFCN17333P6_009904-T1, TFCN17333P6_012845-T1, TFCN17333P6_010519-T1
GF00000172	TFCN17333P6_003474-T1, TFCN17333P6_008172-T1, TFCN17333P6_004145-T1, TFCN17333P6_013714-T1, TFCN17333P6_013715-T1
GF00000173	TFCN17333P6_002191-T1, TFCN17333P6_009444-T1, TFCN17333P6_008001-T1, TFCN17333P6_006394-T1, TFCN17333P6_006395-T1
GF00000174	TFCN17333P6_002630-T1, TFCN17333P6_003597-T1, TFCN17333P6_002632-T1, TFCN17333P6_002631-T1, TFCN17333P6_002629-T1
GF00000175	TFCN17333P6_003425-T1, TFCN17333P6_014477-T1, TFCN17333P6_009500-T1, TFCN17333P6_013595-T1, TFCN17333P6_010598-T1
GF00000176	TFCN17333P6_008741-T1, TFCN17333P6_003003-T1, TFCN17333P6_014555-T1, TFCN17333P6_008739-T1, TFCN17333P6_003005-T1
GF00000177	TFCN17333P6_012838-T1, TFCN17333P6_009911-T1, TFCN17333P6_009033-T1, TFCN17333P6_003107-T1, TFCN17333P6_005262-T1
GF00000178	TFCN17333P6_008326-T1, TFCN17333P6_008331-T1, TFCN17333P6_014868-T1, TFCN17333P6_011279-T1, TFCN17333P6_011947-T1
GF00000179	TFCN17333P6_003122-T1, TFCN17333P6_009049-T1, TFCN17333P6_005277-T1, TFCN17333P6_007991-T1, TFCN17333P6_004575-T1
GF00000180	TFCN17333P6_006059-T1, TFCN17333P6_014401-T1, TFCN17333P6_012655-T1, TFCN17333P6_013534-T1, TFCN17333P6_006054-T1
GF00000181	TFCN17333P6_012379-T1, TFCN17333P6_004384-T1, TFCN17333P6_008196-T1, TFCN17333P6_001686-T1, TFCN17333P6_008197-T1
GF00000182	TFCN17333P6_006764-T1, TFCN17333P6_001434-T1, TFCN17333P6_001441-T1, TFCN17333P6_001446-T1, TFCN17333P6_006760-T1
GF00000183	TFCN17333P6_005882-T1, TFCN17333P6_002985-T1, TFCN17333P6_009989-T1, TFCN17333P6_008759-T1, TFCN17333P6_014190-T1
GF00000184	TFCN17333P6_007152-T1, TFCN17333P6_000967-T1, TFCN17333P6_000956-T1, TFCN17333P6_014622-T1, TFCN17333P6_014621-T1
GF00000185	TFCN17333P6_011539-T1, TFCN17333P6_008239-T1, TFCN17333P6_008238-T1, TFCN17333P6_011540-T1, TFCN17333P6_011538-T1
GF00000186	TFCN17333P6_004680-T1, TFCN17333P6_006504-T1, TFCN17333P6_014082-T1, TFCN17333P6_014740-T1, TFCN17333P6_013139-T1
GF00000187	TFCN17333P6_004714-T1, TFCN17333P6_013170-T1, TFCN17333P6_010394-T1, TFCN17333P6_014552-T1, TFCN17333P6_014551-T1
GF00000188	TFCN17333P6_014001-T1, TFCN17333P6_011748-T1, TFCN17333P6_013031-T1, TFCN17333P6_013189-T1, TFCN17333P6_014862-T1
GF00000189	TFCN17333P6_000504-T1, TFCN17333P6_004765-T1, TFCN17333P6_011756-T1, TFCN17333P6_014009-T1, TFCN17333P6_003621-T1
GF00000190	TFCN17333P6_012855-T1, TFCN17333P6_006449-T1, TFCN17333P6_006450-T1, TFCN17333P6_008883-T1, TFCN17333P6_010855-T1
GF00000191	TFCN17333P6_013034-T1, TFCN17333P6_011155-T1, TFCN17333P6_007777-T1, TFCN17333P6_013757-T1, TFCN17333P6_013758-T1
GF00000192	TFCN17333P6_010161-T1, TFCN17333P6_013616-T1, TFCN17333P6_013615-T1, TFCN17333P6_010159-T1, TFCN17333P6_010160-T1
GF00000193	TFCN17333P6_011410-T1, TFCN17333P6_002828-T1, TFCN17333P6_002898-T1, TFCN17333P6_005383-T1, TFCN17333P6_004089-T1
GF00000194	TFCN17333P6_007562-T1, TFCN17333P6_004622-T1, TFCN17333P6_005297-T1, TFCN17333P6_011816-T1, TFCN17333P6_011817-T1
GF00000195	TFCN17333P6_002896-T1, TFCN17333P6_011045-T1, TFCN17333P6_011408-T1, TFCN17333P6_002830-T1, TFCN17333P6_011104-T1
GF00000196	TFCN17333P6_006877-T1, TFCN17333P6_004163-T1, TFCN17333P6_004185-T1, TFCN17333P6_006878-T1, TFCN17333P6_006860-T1
GF00000197	TFCN17333P6_003162-T1, TFCN17333P6_012314-T1, TFCN17333P6_009050-T1, TFCN17333P6_003123-T1, TFCN17333P6_005278-T1
GF00000198	TFCN17333P6_006861-T1, TFCN17333P6_006880-T1, TFCN17333P6_006862-T1, TFCN17333P6_006879-T1, TFCN17333P6_004162-T1
GF00000199	TFCN17333P6_001911-T1, TFCN17333P6_008352-T1, TFCN17333P6_008361-T1, TFCN17333P6_001917-T1
GF00000200	TFCN17333P6_004166-T1, TFCN17333P6_010603-T1, TFCN17333P6_009505-T1, TFCN17333P6_006874-T1
GF00000201	TFCN17333P6_012243-T1, TFCN17333P6_003369-T1, TFCN17333P6_000902-T1, TFCN17333P6_009766-T1
GF00000202	TFCN17333P6_003507-T1, TFCN17333P6_008141-T1, TFCN17333P6_014442-T1, TFCN17333P6_014441-T1
GF00000203	TFCN17333P6_005176-T1, TFCN17333P6_011605-T1, TFCN17333P6_001954-T1, TFCN17333P6_008396-T1
GF00000204	TFCN17333P6_002850-T1, TFCN17333P6_010719-T1, TFCN17333P6_002873-T1, TFCN17333P6_002874-T1
GF00000205	TFCN17333P6_006969-T1, TFCN17333P6_005551-T1, TFCN17333P6_006970-T1, TFCN17333P6_010145-T1
GF00000206	TFCN17333P6_009698-T1, TFCN17333P6_013059-T1, TFCN17333P6_014161-T1, TFCN17333P6_013058-T1
GF00000207	TFCN17333P6_008138-T1, TFCN17333P6_003511-T1, TFCN17333P6_007661-T1, TFCN17333P6_007282-T1
GF00000208	TFCN17333P6_010600-T1, TFCN17333P6_009502-T1, TFCN17333P6_009503-T1, TFCN17333P6_010601-T1
GF00000209	TFCN17333P6_007041-T1, TFCN17333P6_010270-T1, TFCN17333P6_007042-T1, TFCN17333P6_010271-T1
GF00000210	TFCN17333P6_002268-T1, TFCN17333P6_011455-T1, TFCN17333P6_006996-T1, TFCN17333P6_006995-T1
GF00000211	TFCN17333P6_003069-T1, TFCN17333P6_014543-T1, TFCN17333P6_006405-T1, TFCN17333P6_002201-T1
GF00000212	TFCN17333P6_000856-T1, TFCN17333P6_014050-T1, TFCN17333P6_000819-T1, TFCN17333P6_005639-T1
GF00000213	TFCN17333P6_010196-T1, TFCN17333P6_008079-T1, TFCN17333P6_006511-T1, TFCN17333P6_013146-T1
GF00000214	TFCN17333P6_009531-T1, TFCN17333P6_000107-T1, TFCN17333P6_014797-T1, TFCN17333P6_014901-T1
GF00000215	TFCN17333P6_002927-T1, TFCN17333P6_011437-T1, TFCN17333P6_002799-T1, TFCN17333P6_002800-T1
GF00000216	TFCN17333P6_006772-T1, TFCN17333P6_001426-T1, TFCN17333P6_008052-T1, TFCN17333P6_011294-T1
GF00000217	TFCN17333P6_002820-T1, TFCN17333P6_002906-T1, TFCN17333P6_011417-T1, TFCN17333P6_011418-T1
GF00000218	TFCN17333P6_012597-T1, TFCN17333P6_011346-T1, TFCN17333P6_011345-T1, TFCN17333P6_012598-T1
GF00000219	TFCN17333P6_006467-T1, TFCN17333P6_012775-T1, TFCN17333P6_012776-T1, TFCN17333P6_012774-T1
GF00000220	TFCN17333P6_002471-T1, TFCN17333P6_003240-T1, TFCN17333P6_012136-T1, TFCN17333P6_012137-T1
GF00000221	TFCN17333P6_003058-T1, TFCN17333P6_011117-T1, TFCN17333P6_011032-T1, TFCN17333P6_011033-T1
GF00000222	TFCN17333P6_003048-T1, TFCN17333P6_006356-T1, TFCN17333P6_002155-T1, TFCN17333P6_008694-T1
GF00000223	TFCN17333P6_014826-T1, TFCN17333P6_014817-T1, TFCN17333P6_014816-T1, TFCN17333P6_014825-T1
GF00000224	TFCN17333P6_001642-T1, TFCN17333P6_002250-T1, TFCN17333P6_002246-T1, TFCN17333P6_001636-T1
GF00000225	TFCN17333P6_003030-T1, TFCN17333P6_014356-T1, TFCN17333P6_008714-T1, TFCN17333P6_012666-T1
GF00000226	TFCN17333P6_014037-T1, TFCN17333P6_014093-T1, TFCN17333P6_014045-T1, TFCN17333P6_014086-T1
GF00000227	TFCN17333P6_008667-T1, TFCN17333P6_000718-T1, TFCN17333P6_009275-T1, TFCN17333P6_012591-T1
GF00000228	TFCN17333P6_008728-T1, TFCN17333P6_003017-T1, TFCN17333P6_014567-T1, TFCN17333P6_014893-T1
GF00000229	TFCN17333P6_000282-T1, TFCN17333P6_010422-T1, TFCN17333P6_004043-T1, TFCN17333P6_005339-T1
GF00000230	TFCN17333P6_002322-T1, TFCN17333P6_008775-T1, TFCN17333P6_013182-T1, TFCN17333P6_013183-T1
GF00000231	TFCN17333P6_003025-T1, TFCN17333P6_011503-T1, TFCN17333P6_000665-T1, TFCN17333P6_008719-T1
GF00000232	TFCN17333P6_003087-T1, TFCN17333P6_003100-T1, TFCN17333P6_005254-T1, TFCN17333P6_005255-T1
GF00000233	TFCN17333P6_009898-T1, TFCN17333P6_012851-T1, TFCN17333P6_014524-T1, TFCN17333P6_001883-T1
GF00000234	TFCN17333P6_012080-T1, TFCN17333P6_006565-T1, TFCN17333P6_013725-T1, TFCN17333P6_004135-T1
GF00000235	TFCN17333P6_012012-T1, TFCN17333P6_001605-T1, TFCN17333P6_005138-T1, TFCN17333P6_011567-T1
GF00000236	TFCN17333P6_001864-T1, TFCN17333P6_014385-T1, TFCN17333P6_014896-T1, TFCN17333P6_010824-T1
GF00000237	TFCN17333P6_005911-T1, TFCN17333P6_005047-T1, TFCN17333P6_000947-T1, TFCN17333P6_012796-T1
GF00000238	TFCN17333P6_006301-T1, TFCN17333P6_013585-T1, TFCN17333P6_006288-T1, TFCN17333P6_006216-T1
GF00000239	TFCN17333P6_012522-T1, TFCN17333P6_011271-T1, TFCN17333P6_012523-T1, TFCN17333P6_011272-T1
GF00000240	TFCN17333P6_006198-T1, TFCN17333P6_006271-T1, TFCN17333P6_008404-T1, TFCN17333P6_011545-T1
GF00000241	TFCN17333P6_007279-T1, TFCN17333P6_007658-T1, TFCN17333P6_007190-T1, TFCN17333P6_001008-T1
GF00000242	TFCN17333P6_004882-T1, TFCN17333P6_004869-T1, TFCN17333P6_000775-T1, TFCN17333P6_005683-T1
GF00000243	TFCN17333P6_011730-T1, TFCN17333P6_011736-T1, TFCN17333P6_011733-T1, TFCN17333P6_011734-T1
GF00000244	TFCN17333P6_000742-T1, TFCN17333P6_005713-T1, TFCN17333P6_012607-T1, TFCN17333P6_011337-T1
GF00000245	TFCN17333P6_003041-T1, TFCN17333P6_008703-T1, TFCN17333P6_008700-T1, TFCN17333P6_008702-T1
GF00000246	TFCN17333P6_011446-T1, TFCN17333P6_002259-T1, TFCN17333P6_012051-T1, TFCN17333P6_010061-T1
